po_id,line_id,product_id,quantity,unit_cost
95,195,P1093,25,356.24
95,196,P1070,103,266.27
95,197,P1157,96,162.53
96,198,P1095,54,203.91
96,199,P1023,105,271.43
96,200,P1103,165,290.94
97,201,P1180,105,77.6
97,202,P1145,178,82.47
98,203,P1190,163,379.59
98,204,P1000,47,136.85
98,205,P1047,37,285.65
99,206,P1149,110,282.64
99,207,P1170,37,207.47
100,208,P1021,69,364.39
100,209,P1006,64,241.77
100,210,P1013,71,360.62
101,211,P1108,65,191.84
101,212,P1036,53,69.34
102,213,P1115,88,28.83
103,214,P1033,174,195.81
103,215,P1015,116,346.46
104,216,P1101,141,259.81
104,217,P1014,44,452.45
105,218,P1149,156,282.64
105,219,P1013,135,360.62
105,220,P1007,91,182.23
106,221,P1046,101,238.77
106,222,P1093,138,356.24
107,223,P1098,83,282.91
108,224,P1163,76,478.66
108,225,P1094,194,113.95
108,226,P1092,109,478.49
109,227,P1023,168,271.43
109,228,P1016,128,60.67
109,229,P1020,114,50.05
110,230,P1114,12,75.45
110,231,P1109,46,353.84
111,232,P1123,27,239.15
111,233,P1157,55,162.53
112,234,P1093,38,356.24
112,235,P1117,85,48.33
113,236,P1006,50,241.77
113,237,P1092,96,478.49
114,238,P1006,47,241.77
114,239,P1138,88,197.5
115,240,P1081,82,323.19
115,241,P1039,27,183.94
115,242,P1041,15,254.37
116,243,P1196,93,317.86
117,244,P1065,64,54.69
117,245,P1146,47,421.56
118,246,P1070,134,266.27
118,247,P1012,184,154.38
119,248,P1094,83,113.95
119,249,P1145,176,82.47
119,250,P1189,131,385.52
120,251,P1108,170,191.84
120,252,P1117,25,48.33
121,253,P1103,44,290.94
121,254,P1121,97,320.62
121,255,P1032,37,349.97
122,256,P1014,113,452.45
123,257,P1175,80,227.87
123,258,P1008,87,241.17
123,259,P1103,137,290.94
124,260,P1050,100,98.34
124,261,P1098,12,282.91
124,262,P1072,77,69.66
125,263,P1187,98,43.99
125,264,P1176,111,337.23
125,265,P1016,187,60.67
126,266,P1070,135,266.27
126,267,P1064,167,375.68
127,268,P1028,168,420.17
127,269,P1040,35,257.88
128,270,P1149,125,282.64
128,271,P1142,130,172.04
129,272,P1187,55,43.99
130,273,P1163,65,478.66
130,274,P1041,141,254.37
131,275,P1191,110,89.49
131,276,P1181,181,81.24
132,277,P1012,132,154.38
132,278,P1165,33,180.53
133,279,P1071,176,395.38
134,280,P1001,24,58.77
134,281,P1069,74,436.57
135,282,P1106,173,408.61
135,283,P1176,153,337.23
135,284,P1182,64,316.7
136,285,P1066,74,33.19
137,286,P1091,157,403.86
137,287,P1105,118,473.95
137,288,P1051,170,160.92
138,289,P1071,197,395.38
138,290,P1174,182,26.27
138,291,P1178,177,276.28
139,292,P1031,169,283.46
139,293,P1181,167,81.24
140,294,P1120,156,402.41
140,295,P1148,173,219.67
140,296,P1082,155,35.88
141,297,P1101,130,259.81
142,298,P1189,15,385.52
143,299,P1111,122,31.63
143,300,P1063,103,124.62
144,301,P1006,34,241.77
144,302,P1060,13,110.53
145,303,P1095,79,203.91
145,304,P1074,46,111.17
146,305,P1007,12,182.23
147,306,P1137,24,466.13
148,307,P1082,24,35.88
148,308,P1096,116,285.94
149,309,P1183,67,76.5
150,310,P1076,63,312.65
150,311,P1194,198,348.44
150,312,P1010,79,431.29
151,313,P1042,127,372.99
151,314,P1090,156,243.92
151,315,P1090,183,243.92
152,316,P1187,47,43.99
152,317,P1039,75,183.94
153,318,P1118,178,345.11
153,319,P1126,171,33.54
153,320,P1156,108,89.69
154,321,P1188,148,205.8
155,322,P1099,147,255.82
155,323,P1191,81,89.49
155,324,P1069,186,436.57
156,325,P1061,27,469.05
156,326,P1160,173,218.14
157,327,P1051,50,160.92
157,328,P1028,30,420.17
157,329,P1048,15,345.05
158,330,P1087,165,140.16
158,331,P1054,155,154.2
159,332,P1022,61,132.6
159,333,P1089,166,116.42
160,334,P1157,115,162.53
160,335,P1019,42,135.07
160,336,P1019,118,135.07
161,337,P1000,170,136.85
162,338,P1082,51,35.88
163,339,P1142,174,172.04
164,340,P1118,49,345.11
164,341,P1138,143,197.5
164,342,P1094,88,113.95
165,343,P1144,96,150.01
166,344,P1080,120,362.77
166,345,P1028,55,420.17
167,346,P1100,119,144.66
167,347,P1167,128,296.43
168,348,P1024,82,62.99
169,349,P1118,44,345.11
170,350,P1029,120,298.76
170,351,P1134,138,249.28
171,352,P1053,110,348.12
171,353,P1086,61,48.1
172,354,P1114,57,75.45
172,355,P1167,191,296.43
173,356,P1150,163,424.36
173,357,P1035,186,181.19
174,358,P1089,144,116.42
175,359,P1047,168,285.65
175,360,P1160,13,218.14
175,361,P1055,131,415.33
176,362,P1014,16,452.45
177,363,P1177,101,106.85
177,364,P1017,74,451.51
178,365,P1104,83,408.18
178,366,P1010,99,431.29
179,367,P1071,74,395.38
180,368,P1128,198,418.75
180,369,P1186,105,435.74
180,370,P1153,31,188.52
181,371,P1114,138,75.45
181,372,P1154,111,437.38
181,373,P1007,136,182.23
182,374,P1130,86,172.57
182,375,P1031,35,283.46
183,376,P1105,115,473.95
183,377,P1140,154,315.91
183,378,P1076,70,312.65
184,379,P1072,88,69.66
185,380,P1150,115,424.36
185,381,P1191,176,89.49
185,382,P1031,97,283.46
186,383,P1176,99,337.23
186,384,P1084,95,166.13
187,385,P1062,149,498.0
188,386,P1028,148,420.17
189,387,P1160,150,218.14
189,388,P1157,39,162.53
189,389,P1082,87,35.88
190,390,P1067,31,344.06
191,391,P1199,29,289.09
192,392,P1128,113,418.75
192,393,P1081,147,323.19
192,394,P1028,192,420.17
193,395,P1186,25,435.74
193,396,P1040,112,257.88
194,397,P1146,27,421.56
195,398,P1036,63,69.34
196,399,P1181,117,81.24
196,400,P1153,118,188.52
197,401,P1143,19,261.16
197,402,P1150,125,424.36
197,403,P1051,44,160.92
198,404,P1005,161,308.82
198,405,P1199,132,289.09
198,406,P1009,93,183.9
199,407,P1191,18,89.49
200,408,P1062,154,498.0
201,409,P1076,138,312.65
201,410,P1118,54,345.11
201,411,P1199,133,289.09
202,412,P1183,152,76.5
203,413,P1110,197,206.28
203,414,P1035,179,181.19
204,415,P1168,23,267.34
205,416,P1177,87,106.85
206,417,P1115,130,28.83
206,418,P1138,199,197.5
207,419,P1013,54,360.62
207,420,P1116,56,52.28
207,421,P1061,44,469.05
208,422,P1109,175,353.84
208,423,P1130,114,172.57
209,424,P1061,171,469.05
209,425,P1089,77,116.42
209,426,P1147,10,175.87
210,427,P1090,11,243.92
210,428,P1020,67,50.05
211,429,P1019,56,135.07
211,430,P1059,109,224.34
212,431,P1175,157,227.87
213,432,P1119,185,429.68
213,433,P1076,44,312.65
213,434,P1114,175,75.45
214,435,P1016,110,60.67
214,436,P1018,120,389.28
214,437,P1102,198,172.98
215,438,P1179,133,175.99
216,439,P1127,147,357.19
216,440,P1190,105,379.59
216,441,P1035,186,181.19
217,442,P1051,154,160.92
217,443,P1164,63,429.12
218,444,P1066,67,33.19
218,445,P1029,69,298.76
218,446,P1197,45,395.9
219,447,P1125,102,240.76
219,448,P1042,195,372.99
220,449,P1031,69,283.46
221,450,P1145,34,82.47
221,451,P1138,107,197.5
221,452,P1123,40,239.15
222,453,P1130,119,172.57
223,454,P1180,180,77.6
223,455,P1018,69,389.28
223,456,P1057,15,373.34
224,457,P1103,111,290.94
225,458,P1194,21,348.44
225,459,P1091,69,403.86
226,460,P1062,67,498.0
226,461,P1164,181,429.12
227,462,P1041,51,254.37
227,463,P1111,59,31.63
228,464,P1190,170,379.59
228,465,P1167,32,296.43
228,466,P1093,119,356.24
229,467,P1065,22,54.69
230,468,P1102,67,172.98
230,469,P1145,91,82.47
230,470,P1185,115,111.5
231,471,P1109,87,353.84
232,472,P1196,82,317.86
233,473,P1175,183,227.87
233,474,P1073,93,439.74
234,475,P1169,34,167.84
235,476,P1004,197,481.29
236,477,P1193,92,282.24
236,478,P1076,198,312.65
236,479,P1089,188,116.42
237,480,P1120,121,402.41
237,481,P1074,74,111.17
238,482,P1022,115,132.6
239,483,P1043,106,209.96
239,484,P1165,71,180.53
239,485,P1027,18,276.32
240,486,P1187,155,43.99
241,487,P1134,23,249.28
241,488,P1145,170,82.47
241,489,P1112,19,444.58
242,490,P1040,194,257.88
242,491,P1078,179,489.23
243,492,P1079,18,165.08
243,493,P1027,73,276.32
243,494,P1085,78,139.55
244,495,P1171,58,106.96
244,496,P1157,38,162.53
245,497,P1114,24,75.45
245,498,P1031,67,283.46
246,499,P1007,65,182.23
246,500,P1114,92,75.45
247,501,P1089,40,116.42
248,502,P1041,119,254.37
248,503,P1194,123,348.44
249,504,P1107,84,417.58
249,505,P1128,122,418.75
250,506,P1015,190,346.46
250,507,P1009,119,183.9
251,508,P1185,125,111.5
251,509,P1092,158,478.49
251,510,P1047,29,285.65
252,511,P1169,162,167.84
252,512,P1092,165,478.49
253,513,P1185,52,111.5
254,514,P1151,126,87.35
254,515,P1095,10,203.91
255,516,P1060,91,110.53
255,517,P1176,85,337.23
256,518,P1152,23,320.46
256,519,P1054,31,154.2
256,520,P1080,20,362.77
257,521,P1029,138,298.76
257,522,P1025,175,292.72
257,523,P1105,56,473.95
258,524,P1169,121,167.84
258,525,P1093,163,356.24
259,526,P1112,42,444.58
259,527,P1170,132,207.47
259,528,P1163,142,478.66
260,529,P1189,121,385.52
261,530,P1030,182,444.63
261,531,P1100,52,144.66
262,532,P1060,142,110.53
262,533,P1043,134,209.96
263,534,P1171,146,106.96
264,535,P1001,83,58.77
264,536,P1190,49,379.59
265,537,P1041,18,254.37
265,538,P1149,117,282.64
265,539,P1050,55,98.34
266,540,P1085,72,139.55
266,541,P1193,55,282.24
267,542,P1111,51,31.63
267,543,P1059,106,224.34
268,544,P1089,16,116.42
269,545,P1102,157,172.98
269,546,P1160,147,218.14
270,547,P1027,60,276.32
271,548,P1048,39,345.05
271,549,P1116,30,52.28
272,550,P1006,56,241.77
272,551,P1174,137,26.27
272,552,P1184,36,285.56
273,553,P1144,77,150.01
273,554,P1073,92,439.74
274,555,P1122,124,397.28
275,556,P1061,108,469.05
275,557,P1135,188,342.78
275,558,P1147,118,175.87
276,559,P1073,121,439.74
276,560,P1134,79,249.28
276,561,P1170,77,207.47
277,562,P1003,179,137.45
277,563,P1010,84,431.29
278,564,P1159,24,389.87
278,565,P1030,156,444.63
279,566,P1049,16,257.17
279,567,P1151,91,87.35
280,568,P1088,115,317.63
280,569,P1135,102,342.78
281,570,P1123,111,239.15
281,571,P1160,199,218.14
281,572,P1000,108,136.85
282,573,P1094,13,113.95
283,574,P1123,151,239.15
284,575,P1014,63,452.45
284,576,P1038,58,205.78
284,577,P1051,180,160.92
285,578,P1052,148,33.53
285,579,P1094,46,113.95
286,580,P1106,63,408.61
286,581,P1093,141,356.24
287,582,P1039,102,183.94
287,583,P1169,116,167.84
287,584,P1098,144,282.91
288,585,P1169,172,167.84
288,586,P1098,192,282.91
289,587,P1126,61,33.54
290,588,P1102,157,172.98
291,589,P1054,72,154.2
291,590,P1069,138,436.57
292,591,P1090,140,243.92
292,592,P1169,57,167.84
293,593,P1077,105,51.66
294,594,P1053,111,348.12
294,595,P1123,165,239.15
294,596,P1052,150,33.53
295,597,P1143,191,261.16
296,598,P1043,176,209.96
296,599,P1124,146,455.07
297,600,P1162,193,26.46
297,601,P1149,197,282.64
297,602,P1174,137,26.27
298,603,P1004,55,481.29
299,604,P1022,22,132.6
299,605,P1135,111,342.78
299,606,P1169,169,167.84
300,607,P1096,19,285.94
300,608,P1135,71,342.78
301,609,P1173,64,94.27
301,610,P1024,54,62.99
301,611,P1197,81,395.9
302,612,P1020,96,50.05
302,613,P1050,61,98.34
302,614,P1045,129,447.5
303,615,P1003,173,137.45
303,616,P1001,35,58.77
303,617,P1159,26,389.87
304,618,P1103,160,290.94
304,619,P1094,31,113.95
305,620,P1110,196,206.28
305,621,P1147,93,175.87
306,622,P1191,188,89.49
307,623,P1068,66,142.48
308,624,P1046,88,238.77
309,625,P1104,47,408.18
309,626,P1199,101,289.09
309,627,P1190,173,379.59
310,628,P1050,68,98.34
310,629,P1069,85,436.57
310,630,P1161,26,43.36
311,631,P1158,146,37.36
311,632,P1199,110,289.09
311,633,P1119,77,429.68
312,634,P1100,43,144.66
313,635,P1014,87,452.45
313,636,P1154,41,437.38
314,637,P1093,22,356.24
314,638,P1083,192,433.93
315,639,P1185,84,111.5
315,640,P1030,117,444.63
315,641,P1006,95,241.77
316,642,P1048,186,345.05
316,643,P1104,45,408.18
317,644,P1037,138,142.11
317,645,P1161,138,43.36
317,646,P1069,191,436.57
318,647,P1132,125,295.43
318,648,P1090,175,243.92
319,649,P1086,29,48.1
320,650,P1170,129,207.47
320,651,P1161,61,43.36
320,652,P1044,74,345.07
321,653,P1090,63,243.92
322,654,P1145,190,82.47
322,655,P1052,69,33.53
323,656,P1012,119,154.38
323,657,P1073,115,439.74
324,658,P1079,136,165.08
325,659,P1140,139,315.91
325,660,P1044,19,345.07
326,661,P1014,39,452.45
326,662,P1025,124,292.72
327,663,P1128,140,418.75
328,664,P1092,132,478.49
328,665,P1065,65,54.69
329,666,P1155,50,337.37
329,667,P1064,38,375.68
329,668,P1148,126,219.67
330,669,P1004,11,481.29
330,670,P1080,92,362.77
331,671,P1054,26,154.2
331,672,P1156,78,89.69
331,673,P1078,57,489.23
332,674,P1044,41,345.07
333,675,P1137,196,466.13
333,676,P1120,186,402.41
334,677,P1043,73,209.96
334,678,P1008,131,241.17
335,679,P1172,143,35.94
335,680,P1155,166,337.37
335,681,P1055,63,415.33
336,682,P1090,82,243.92
336,683,P1060,144,110.53
336,684,P1019,166,135.07
337,685,P1060,27,110.53
337,686,P1081,24,323.19
337,687,P1138,79,197.5
338,688,P1118,136,345.11
339,689,P1168,14,267.34
339,690,P1013,55,360.62
340,691,P1030,49,444.63
340,692,P1092,69,478.49
340,693,P1161,70,43.36
341,694,P1117,143,48.33
341,695,P1117,184,48.33
341,696,P1121,40,320.62
342,697,P1095,43,203.91
342,698,P1004,155,481.29
343,699,P1133,163,447.19
343,700,P1144,165,150.01
343,701,P1190,35,379.59
344,702,P1043,98,209.96
344,703,P1022,189,132.6
344,704,P1014,128,452.45
345,705,P1062,10,498.0
345,706,P1099,17,255.82
345,707,P1037,139,142.11
346,708,P1057,72,373.34
347,709,P1155,190,337.37
347,710,P1065,89,54.69
347,711,P1028,53,420.17
348,712,P1196,12,317.86
349,713,P1162,10,26.46
349,714,P1083,169,433.93
349,715,P1169,68,167.84
350,716,P1133,73,447.19
350,717,P1043,122,209.96
350,718,P1199,19,289.09
351,719,P1035,199,181.19
352,720,P1119,188,429.68
352,721,P1051,89,160.92
352,722,P1028,122,420.17
353,723,P1075,37,292.75
353,724,P1178,134,276.28
353,725,P1004,125,481.29
354,726,P1109,96,353.84
354,727,P1199,153,289.09
354,728,P1100,50,144.66
355,729,P1102,128,172.98
355,730,P1152,126,320.46
356,731,P1059,181,224.34
357,732,P1034,183,162.46
357,733,P1116,123,52.28
357,734,P1095,155,203.91
358,735,P1195,145,381.1
358,736,P1178,39,276.28
359,737,P1143,155,261.16
359,738,P1101,62,259.81
360,739,P1151,58,87.35
361,740,P1111,56,31.63
361,741,P1139,89,278.97
362,742,P1032,17,349.97
362,743,P1196,110,317.86
362,744,P1171,160,106.96
363,745,P1019,174,135.07
364,746,P1199,83,289.09
365,747,P1032,50,349.97
365,748,P1029,31,298.76
365,749,P1043,177,209.96
366,750,P1066,108,33.19
366,751,P1193,54,282.24
366,752,P1133,144,447.19
367,753,P1046,148,238.77
367,754,P1045,57,447.5
367,755,P1036,124,69.34
368,756,P1002,133,227.87
368,757,P1087,142,140.16
368,758,P1031,181,283.46
369,759,P1150,138,424.36
370,760,P1016,105,60.67
371,761,P1163,30,478.66
371,762,P1169,186,167.84
371,763,P1045,158,447.5
372,764,P1062,196,498.0
372,765,P1094,190,113.95
372,766,P1005,143,308.82
373,767,P1026,157,30.31
373,768,P1046,94,238.77
374,769,P1135,40,342.78
374,770,P1104,66,408.18
375,771,P1187,147,43.99
375,772,P1085,166,139.55
376,773,P1168,59,267.34
376,774,P1150,174,424.36
376,775,P1154,85,437.38
377,776,P1009,172,183.9
377,777,P1033,191,195.81
377,778,P1107,106,417.58
378,779,P1163,47,478.66
378,780,P1015,32,346.46
378,781,P1034,118,162.46
379,782,P1036,137,69.34
379,783,P1084,22,166.13
380,784,P1096,75,285.94
380,785,P1120,165,402.41
380,786,P1022,98,132.6
381,787,P1006,16,241.77
381,788,P1025,164,292.72
381,789,P1047,177,285.65
382,790,P1050,11,98.34
382,791,P1093,190,356.24
383,792,P1087,83,140.16
383,793,P1031,64,283.46
383,794,P1073,184,439.74
384,795,P1151,68,87.35
385,796,P1051,133,160.92
385,797,P1115,130,28.83
385,798,P1129,42,127.8
386,799,P1061,194,469.05
387,800,P1045,137,447.5
387,801,P1028,97,420.17
387,802,P1178,140,276.28
388,803,P1090,87,243.92
389,804,P1006,39,241.77
390,805,P1156,164,89.69
391,806,P1038,147,205.78
391,807,P1000,193,136.85
392,808,P1095,23,203.91
392,809,P1185,90,111.5
392,810,P1163,69,478.66
393,811,P1106,55,408.61
393,812,P1194,177,348.44
393,813,P1153,64,188.52
394,814,P1163,54,478.66
394,815,P1012,43,154.38
394,816,P1100,120,144.66
395,817,P1152,179,320.46
395,818,P1007,182,182.23
395,819,P1000,192,136.85
396,820,P1065,52,54.69
397,821,P1148,140,219.67
398,822,P1107,28,417.58
398,823,P1174,33,26.27
398,824,P1008,180,241.17
399,825,P1140,101,315.91
399,826,P1093,153,356.24
400,827,P1147,110,175.87
401,828,P1116,148,52.28
401,829,P1011,152,142.8
402,830,P1153,26,188.52
402,831,P1179,171,175.99
402,832,P1006,90,241.77
403,833,P1056,148,334.84
403,834,P1046,190,238.77
404,835,P1157,173,162.53
404,836,P1027,105,276.32
404,837,P1160,75,218.14
405,838,P1158,185,37.36
406,839,P1015,28,346.46
406,840,P1058,184,443.58
406,841,P1190,183,379.59
407,842,P1108,116,191.84
408,843,P1069,131,436.57
408,844,P1121,113,320.62
409,845,P1183,125,76.5
409,846,P1051,64,160.92
409,847,P1182,182,316.7
410,848,P1103,160,290.94
411,849,P1158,114,37.36
411,850,P1102,170,172.98
412,851,P1150,39,424.36
412,852,P1140,26,315.91
413,853,P1127,99,357.19
413,854,P1095,193,203.91
413,855,P1180,167,77.6
414,856,P1186,81,435.74
414,857,P1151,133,87.35
414,858,P1178,131,276.28
415,859,P1135,114,342.78
415,860,P1177,110,106.85
415,861,P1161,131,43.36
416,862,P1052,143,33.53
417,863,P1189,32,385.52
418,864,P1044,151,345.07
418,865,P1132,90,295.43
419,866,P1010,26,431.29
420,867,P1088,88,317.63
420,868,P1024,147,62.99
421,869,P1106,72,408.61
421,870,P1024,181,62.99
422,871,P1102,158,172.98
422,872,P1145,109,82.47
423,873,P1001,57,58.77
423,874,P1037,100,142.11
423,875,P1194,122,348.44
424,876,P1091,122,403.86
425,877,P1020,128,50.05
426,878,P1112,133,444.58
426,879,P1031,30,283.46
426,880,P1003,106,137.45
427,881,P1146,161,421.56
427,882,P1115,96,28.83
427,883,P1150,125,424.36
428,884,P1155,149,337.37
429,885,P1129,118,127.8
429,886,P1101,158,259.81
429,887,P1183,167,76.5
430,888,P1144,70,150.01
431,889,P1036,178,69.34
431,890,P1085,181,139.55
431,891,P1067,142,344.06
432,892,P1091,83,403.86
433,893,P1188,193,205.8
433,894,P1006,81,241.77
434,895,P1118,38,345.11
434,896,P1051,41,160.92
435,897,P1025,165,292.72
435,898,P1057,198,373.34
436,899,P1075,80,292.75
437,900,P1152,18,320.46
437,901,P1013,31,360.62
438,902,P1181,147,81.24
439,903,P1144,114,150.01
439,904,P1148,137,219.67
440,905,P1142,143,172.04
440,906,P1099,80,255.82
441,907,P1108,19,191.84
442,908,P1115,133,28.83
442,909,P1185,133,111.5
443,910,P1110,59,206.28
444,911,P1073,89,439.74
445,912,P1127,169,357.19
445,913,P1069,144,436.57
446,914,P1046,39,238.77
446,915,P1068,112,142.48
446,916,P1196,158,317.86
447,917,P1101,199,259.81
447,918,P1193,27,282.24
448,919,P1088,90,317.63
448,920,P1149,192,282.64
449,921,P1177,127,106.85
449,922,P1080,22,362.77
450,923,P1134,147,249.28
450,924,P1197,96,395.9
451,925,P1110,193,206.28
451,926,P1144,187,150.01
452,927,P1118,187,345.11
452,928,P1104,134,408.18
452,929,P1107,169,417.58
453,930,P1051,50,160.92
453,931,P1067,196,344.06
453,932,P1143,47,261.16
454,933,P1085,16,139.55
454,934,P1038,107,205.78
455,935,P1100,193,144.66
455,936,P1091,56,403.86
456,937,P1179,124,175.99
457,938,P1028,140,420.17
458,939,P1066,106,33.19
459,940,P1173,138,94.27
459,941,P1156,34,89.69
459,942,P1194,130,348.44
460,943,P1103,48,290.94
460,944,P1033,76,195.81
460,945,P1134,171,249.28
461,946,P1006,14,241.77
461,947,P1199,57,289.09
462,948,P1079,69,165.08
462,949,P1145,55,82.47
463,950,P1118,162,345.11
463,951,P1047,157,285.65
463,952,P1061,130,469.05
464,953,P1090,183,243.92
464,954,P1143,72,261.16
464,955,P1092,143,478.49
465,956,P1091,120,403.86
465,957,P1017,57,451.51
465,958,P1078,29,489.23
466,959,P1115,61,28.83
466,960,P1071,189,395.38
467,961,P1158,146,37.36
467,962,P1028,199,420.17
468,963,P1148,149,219.67
468,964,P1168,109,267.34
468,965,P1180,100,77.6
469,966,P1150,19,424.36
469,967,P1114,35,75.45
469,968,P1175,182,227.87
470,969,P1064,169,375.68
471,970,P1120,65,402.41
472,971,P1037,124,142.11
472,972,P1030,128,444.63
472,973,P1178,90,276.28
473,974,P1077,84,51.66
473,975,P1031,122,283.46
473,976,P1113,83,45.1
474,977,P1196,109,317.86
474,978,P1032,94,349.97
475,979,P1072,62,69.66
476,980,P1134,135,249.28
476,981,P1041,179,254.37
476,982,P1149,53,282.64
477,983,P1126,98,33.54
477,984,P1039,126,183.94
478,985,P1116,67,52.28
478,986,P1013,85,360.62
478,987,P1165,114,180.53
479,988,P1067,129,344.06
480,989,P1056,156,334.84
480,990,P1007,117,182.23
480,991,P1197,13,395.9
481,992,P1101,85,259.81
481,993,P1103,190,290.94
482,994,P1005,74,308.82
483,995,P1103,106,290.94
483,996,P1076,138,312.65
