payment_id,invoice_id,payment_date,amount_paid,method
198,1208,2026-05-17,18382.37,NEFT
199,1209,2025-10-26,2329.3,UPI
200,1211,2025-10-14,2687.31,NEFT
201,1212,2026-01-14,1675.3,NEFT
202,1213,2026-04-30,8740.72,Cheque
203,1214,2026-05-26,9107.2,NEFT
204,1215,2026-09-21,8209.0,Cheque
205,1217,2025-11-01,2852.04,Cheque
206,1218,2026-01-23,12046.37,NEFT
207,1219,2026-03-19,5931.0,NEFT
208,1220,2026-02-11,2730.29,NEFT
209,1221,2026-03-29,5936.19,UPI
210,1222,2026-07-28,1309.54,Card
211,1223,2026-04-25,5450.28,Cheque
212,1225,2025-10-23,4331.49,Cheque
213,1226,2026-04-08,8830.07,Card
214,1228,2026-01-12,6231.96,Card
215,1229,2026-02-13,20571.24,Card
216,1230,2026-05-23,14770.07,UPI
217,1231,2026-04-12,6916.98,Card
218,1231,2026-04-22,1342.02,Cheque
219,1232,2026-04-16,4211.94,Card
220,1232,2026-04-01,2430.9,Cheque
221,1235,2026-09-25,9463.35,Card
222,1236,2026-01-02,4263.61,NEFT
223,1237,2026-03-11,2221.46,Card
224,1238,2025-12-15,2631.91,NEFT
225,1239,2026-06-21,2924.98,Card
226,1240,2026-04-03,20333.7,Card
227,1241,2026-09-21,4186.4,NEFT
228,1242,2026-07-11,5139.0,UPI
229,1243,2026-02-03,3992.84,Cheque
230,1245,2026-01-06,2495.69,Card
231,1247,2026-03-31,11596.14,NEFT
232,1248,2026-04-21,1698.35,Card
233,1249,2026-06-21,4930.75,UPI
234,1250,2026-01-22,2806.83,NEFT
235,1251,2026-06-29,5966.92,UPI
236,1252,2026-04-13,3849.77,NEFT
237,1253,2026-01-26,7664.69,Card
238,1254,2026-02-08,762.35,NEFT
239,1254,2026-02-13,24.68,UPI
240,1255,2026-10-12,12255.49,NEFT
241,1256,2026-03-08,9004.68,NEFT
242,1257,2026-10-08,11230.96,Card
243,1258,2026-07-24,10242.52,Card
244,1259,2026-09-12,6426.8,Cheque
245,1260,2026-06-07,2993.25,UPI
246,1261,2026-08-30,7100.63,NEFT
247,1262,2026-08-09,6303.26,NEFT
248,1263,2025-10-20,8683.31,Card
249,1263,2025-09-27,1398.04,Card
250,1264,2025-11-20,8221.54,Card
251,1265,2026-03-07,2637.31,UPI
252,1266,2025-10-20,7070.57,NEFT
253,1267,2025-11-09,7589.93,NEFT
254,1270,2026-07-18,8061.53,Card
255,1271,2025-10-06,3535.64,Card
256,1271,2025-10-22,4082.53,Cheque
257,1273,2026-09-19,2055.41,NEFT
258,1273,2026-09-09,1743.76,Card
259,1274,2026-01-31,2797.65,Cheque
260,1276,2026-09-11,2555.04,Cheque
261,1277,2026-02-15,4190.94,Cheque
262,1277,2026-03-09,163.75,Card
263,1278,2026-07-24,3913.49,Cheque
264,1280,2026-08-02,1359.17,Cheque
265,1280,2026-08-07,1268.82,NEFT
266,1281,2026-06-20,2475.65,Card
267,1282,2025-10-03,921.71,NEFT
268,1283,2026-08-04,7290.57,Cheque
269,1284,2025-12-21,2457.56,UPI
270,1285,2026-04-12,2819.71,Card
271,1286,2026-03-01,7855.67,Card
272,1287,2026-07-13,2467.62,Cheque
273,1288,2026-06-04,6778.18,Cheque
274,1289,2026-05-23,1904.34,Cheque
275,1290,2025-11-17,3632.85,UPI
276,1290,2025-11-28,1283.36,NEFT
277,1291,2026-05-10,3070.12,UPI
278,1292,2025-11-15,3731.21,Cheque
279,1293,2026-04-11,16756.43,UPI
280,1294,2026-09-19,1347.17,Cheque
281,1295,2026-07-08,8052.38,UPI
282,1296,2026-10-06,2397.48,NEFT
283,1297,2026-08-06,10021.2,UPI
284,1298,2026-05-31,11743.4,Cheque
285,1299,2026-08-08,3169.32,UPI
286,1299,2026-08-14,3886.18,Cheque
287,1300,2026-01-12,1886.42,NEFT
288,1301,2025-10-10,6217.59,Card
289,1302,2026-04-29,20865.46,UPI
290,1302,2026-04-28,17882.87,UPI
291,1303,2026-07-31,4571.47,UPI
292,1303,2026-09-20,473.68,UPI
293,1305,2026-08-13,4270.76,Cheque
294,1306,2025-10-12,7552.58,Cheque
295,1307,2026-07-01,2228.83,UPI
296,1307,2026-07-01,2434.33,UPI
297,1308,2025-11-05,3419.72,NEFT
298,1309,2026-02-12,3957.37,Cheque
299,1310,2026-03-11,2182.44,UPI
300,1311,2026-03-09,32043.46,Card
301,1312,2026-06-09,2337.38,UPI
302,1312,2026-06-12,2290.58,UPI
303,1313,2026-04-11,64596.26,UPI
304,1314,2025-10-17,7024.26,NEFT
305,1315,2026-03-08,8080.26,Card
306,1316,2026-06-28,3904.03,Cheque
307,1317,2026-07-10,3111.4,Cheque
308,1318,2026-04-26,3975.31,NEFT
309,1319,2026-04-29,2569.18,Cheque
310,1320,2026-02-24,2386.18,Cheque
311,1321,2025-10-30,20845.1,Card
312,1322,2025-12-14,8255.2,Cheque
313,1322,2026-01-09,1225.33,Cheque
314,1323,2026-02-01,16576.5,Card
315,1324,2026-06-01,12005.89,Cheque
316,1324,2026-05-28,291.14,NEFT
317,1325,2025-12-21,3090.52,NEFT
318,1326,2026-06-25,1458.91,Cheque
319,1327,2025-11-22,1925.94,Cheque
320,1327,2025-11-21,1534.25,UPI
321,1328,2025-10-23,5381.16,UPI
322,1329,2026-05-13,11571.76,Cheque
323,1330,2025-12-08,4786.28,Card
324,1331,2026-06-27,53652.63,Cheque
325,1332,2025-11-06,2894.5,Cheque
326,1334,2025-11-17,1433.84,Card
327,1335,2026-02-01,4654.77,Card
328,1336,2026-09-08,4522.11,Cheque
329,1337,2026-10-07,4098.04,UPI
330,1338,2026-02-23,3047.75,UPI
331,1339,2025-10-12,4856.13,Card
332,1339,2025-10-11,770.28,Card
333,1340,2025-12-08,7474.37,Card
334,1340,2025-11-21,2286.45,NEFT
335,1342,2026-08-02,4809.43,Cheque
336,1343,2025-10-29,7418.26,Cheque
337,1344,2026-08-09,8634.37,Card
338,1345,2026-03-22,22194.85,Card
339,1346,2025-10-21,7943.71,Card
340,1347,2025-10-29,3630.68,Card
341,1349,2026-01-13,3143.17,Cheque
342,1350,2026-08-12,1711.99,Card
343,1350,2026-08-01,1294.15,Cheque
344,1351,2026-05-28,5941.89,Card
345,1353,2026-05-24,9670.44,Cheque
346,1354,2026-04-19,8511.63,UPI
347,1355,2026-06-12,13549.15,Card
348,1356,2025-11-02,2927.95,Card
349,1357,2026-01-12,18515.82,UPI
350,1358,2026-07-24,3021.38,UPI
351,1359,2026-09-20,6604.72,Card
352,1360,2026-08-13,4278.62,Card
353,1361,2026-04-17,4905.32,UPI
354,1363,2026-07-10,1582.02,Card
355,1364,2026-09-03,2572.45,NEFT
356,1365,2026-08-12,9104.96,NEFT
357,1366,2026-02-17,3422.82,Cheque
358,1366,2026-03-13,1568.58,Cheque
359,1367,2026-09-01,4072.04,UPI
360,1369,2026-04-11,4094.93,Cheque
361,1370,2025-09-26,4400.01,Card
362,1370,2025-10-02,4220.94,Card
363,1371,2026-07-14,3185.66,NEFT
364,1372,2026-07-07,14889.98,Cheque
365,1373,2026-09-05,11833.63,Cheque
366,1374,2026-06-27,3778.76,UPI
367,1375,2026-05-23,3107.94,NEFT
368,1379,2026-05-10,1365.05,NEFT
369,1379,2026-05-04,226.43,Card
370,1381,2026-07-31,6417.97,Card
371,1382,2026-09-11,21352.36,UPI
372,1383,2026-01-02,3144.73,Cheque
373,1383,2026-01-07,2128.43,NEFT
374,1384,2026-08-01,982.75,Cheque
375,1385,2026-02-20,2749.02,NEFT
376,1386,2026-03-04,3740.47,NEFT
377,1387,2026-05-23,4684.73,Card
378,1388,2025-12-22,7417.41,UPI
379,1388,2026-01-05,2506.04,UPI
380,1389,2025-11-02,3314.94,Card
381,1391,2025-10-14,6087.65,Card
382,1392,2026-04-18,6212.85,UPI
383,1393,2026-03-26,5107.52,Cheque
384,1393,2026-03-24,529.76,Cheque
385,1396,2026-01-05,6310.72,NEFT
386,1396,2025-12-24,13.88,Card
387,1397,2025-12-18,1181.22,Card
388,1397,2025-12-05,449.32,Card
389,1398,2026-02-03,5328.73,Cheque
390,1399,2026-09-03,13214.84,UPI
391,1400,2026-06-28,7074.47,Card
392,1401,2026-08-31,14928.47,NEFT
393,1402,2026-03-27,5034.86,UPI
394,1402,2026-03-16,1893.48,Cheque
395,1403,2025-12-01,2438.38,NEFT
396,1404,2025-12-05,5642.74,NEFT
397,1405,2026-05-14,1017.73,UPI
398,1406,2026-01-17,4232.06,Cheque
399,1407,2026-05-06,4009.4,Card
400,1408,2026-04-07,2906.11,Cheque
401,1409,2025-12-24,33535.74,Card
402,1410,2025-10-21,4717.7,Card
403,1411,2025-10-14,21274.03,NEFT
404,1412,2026-08-04,3982.66,Card
405,1413,2026-01-18,2592.7,UPI
406,1414,2026-07-17,3603.0,Card
407,1415,2025-11-14,3294.84,Card
408,1415,2025-12-16,1553.58,Cheque
409,1416,2026-10-11,3803.76,Cheque
410,1417,2025-10-21,4015.96,UPI
411,1418,2025-11-23,7912.42,UPI
412,1419,2026-05-30,6697.5,UPI
413,1420,2026-09-10,5699.25,Card
414,1420,2026-10-02,2984.32,Card
415,1422,2026-05-09,3428.93,Cheque
416,1423,2025-11-09,12189.22,UPI
417,1424,2026-02-18,8035.39,UPI
418,1424,2026-02-15,7210.64,NEFT
419,1425,2025-10-02,6004.58,Card
420,1425,2025-09-16,8072.65,UPI
421,1426,2026-09-20,599.91,Card
422,1426,2026-08-27,623.32,Cheque
423,1427,2026-07-31,21064.46,Cheque
424,1428,2025-10-16,3005.12,NEFT
425,1429,2026-07-25,1146.71,Card
426,1431,2026-06-08,7539.54,Card
427,1432,2026-04-02,7792.81,Cheque
428,1433,2026-03-19,3822.48,NEFT
429,1433,2026-02-28,11.03,Card
430,1434,2025-11-17,5784.12,Cheque
431,1435,2025-12-16,4472.67,Card
432,1436,2026-06-21,3034.59,Cheque
433,1438,2026-09-01,5473.67,UPI
434,1439,2025-12-09,1736.95,Card
435,1440,2026-06-25,5227.55,Card
436,1441,2026-06-18,1196.52,Card
437,1442,2026-07-26,23236.38,Cheque
438,1443,2025-12-20,4606.06,Cheque
439,1444,2026-05-03,2121.75,Card
440,1445,2026-03-23,7534.99,UPI
441,1446,2026-05-30,2751.31,NEFT
442,1447,2026-03-06,4884.33,Cheque
443,1448,2026-06-07,7198.26,Card
444,1449,2026-05-04,2216.85,Cheque
445,1450,2026-06-05,12309.54,NEFT
446,1451,2026-03-01,25671.19,Card
447,1453,2025-12-24,2035.57,NEFT
448,1454,2026-01-14,3272.1,NEFT
449,1455,2026-08-08,3415.06,UPI
450,1457,2025-09-26,3317.69,UPI
451,1458,2025-09-18,1974.09,UPI
452,1459,2025-11-17,5423.26,UPI
453,1460,2026-03-04,1517.03,UPI
454,1461,2026-07-02,11749.77,Cheque
455,1462,2025-11-21,4052.58,Card
456,1462,2025-11-28,4027.74,UPI
457,1463,2025-10-23,2679.37,Cheque
458,1464,2025-12-30,3191.02,Card
459,1464,2025-12-31,185.55,UPI
460,1465,2026-09-25,6100.84,Card
461,1466,2025-12-27,1173.68,UPI
462,1466,2025-12-24,895.19,UPI
463,1467,2025-12-20,1084.74,NEFT
464,1468,2026-02-20,4174.97,NEFT
465,1469,2026-10-06,1740.92,NEFT
466,1470,2026-07-21,3476.29,Cheque
467,1471,2025-12-07,2119.1,Cheque
468,1472,2026-04-22,7419.85,UPI
469,1472,2026-04-04,8229.0,Card
470,1473,2025-10-14,1662.67,UPI
471,1473,2025-10-26,1958.11,NEFT
472,1474,2026-03-31,2344.28,Cheque
473,1475,2026-07-19,8576.26,NEFT
474,1476,2026-02-20,2513.53,Card
475,1476,2026-03-11,510.68,Card
476,1477,2026-09-01,2069.79,Cheque
477,1479,2026-04-26,2214.36,Cheque
478,1479,2026-06-12,1646.63,NEFT
479,1481,2026-09-25,4136.22,Cheque
480,1481,2026-09-07,803.93,UPI
481,1482,2026-04-18,5544.45,Card
482,1484,2026-03-30,3008.9,UPI
483,1487,2025-09-12,7945.24,NEFT
484,1488,2025-12-03,4737.17,UPI
485,1489,2026-06-11,9449.85,Card
486,1490,2025-11-05,7702.66,Cheque
487,1491,2026-04-03,6502.55,Cheque
488,1492,2026-06-24,2004.05,UPI
489,1493,2026-02-22,4749.76,NEFT
490,1495,2026-03-01,19129.27,UPI
491,1497,2026-08-01,5678.97,NEFT
492,1499,2026-06-09,1847.98,Card
493,1500,2026-04-09,3972.48,Card
494,1501,2025-12-02,1089.36,Cheque
495,1501,2025-11-02,324.73,UPI
496,1502,2026-01-11,3085.13,Cheque
497,1502,2025-11-25,1288.44,NEFT
498,1503,2026-03-13,2179.34,NEFT
499,1504,2026-09-09,5728.02,Card
500,1505,2026-08-04,3902.12,UPI
501,1506,2026-04-07,3852.74,UPI
502,1507,2026-06-08,17325.43,NEFT
503,1508,2025-11-01,5291.41,NEFT
504,1509,2026-07-19,21852.27,NEFT
505,1510,2025-11-20,7145.87,Card
506,1511,2025-12-05,9601.12,UPI
507,1513,2025-11-25,2870.53,Card
508,1514,2026-06-12,5069.53,NEFT
509,1515,2025-10-17,13195.79,Cheque
510,1516,2026-01-15,3739.96,NEFT
511,1517,2025-12-20,847.59,NEFT
512,1518,2025-11-14,6874.58,Card
513,1519,2026-03-13,2130.01,Card
514,1519,2026-03-21,3132.57,Cheque
515,1521,2026-07-11,3709.83,Cheque
516,1522,2026-08-31,2490.74,Card
517,1523,2026-10-02,10470.52,Card
518,1524,2026-06-24,5094.17,UPI
519,1525,2026-04-21,6060.67,Cheque
520,1526,2026-07-20,3102.77,Card
521,1527,2026-03-05,14562.06,Cheque
522,1528,2026-08-26,5965.99,Cheque
523,1529,2026-03-08,901.7,NEFT
524,1530,2026-03-05,7224.1,Card
525,1531,2025-12-11,4047.02,NEFT
526,1532,2025-10-24,4385.4,Cheque
527,1533,2026-05-03,11071.68,UPI
528,1534,2026-08-30,5367.14,NEFT
529,1536,2025-12-28,5440.73,NEFT
530,1537,2026-07-24,3442.32,Cheque
531,1538,2025-12-04,1172.11,UPI
532,1539,2026-10-02,2815.51,NEFT
533,1540,2026-08-08,3863.76,Cheque
534,1542,2025-12-27,3459.05,Card
535,1543,2026-03-18,12494.07,Card
536,1543,2026-03-06,6103.81,NEFT
537,1544,2026-04-05,1995.29,Cheque
538,1545,2025-09-22,2695.18,UPI
539,1547,2026-09-07,3106.01,UPI
540,1548,2026-06-04,12047.06,Card
541,1551,2025-11-20,8355.48,Card
542,1552,2026-04-13,2610.64,Card
543,1554,2026-09-17,6856.94,UPI
544,1555,2025-12-10,4085.13,UPI
545,1556,2025-11-17,3187.94,NEFT
546,1557,2026-07-15,1903.43,Card
547,1558,2026-02-21,10969.83,NEFT
548,1558,2026-01-21,4971.27,UPI
549,1559,2026-07-26,18510.31,UPI
550,1560,2025-11-16,2853.05,UPI
551,1561,2026-07-18,4152.64,Card
552,1562,2025-12-15,4339.25,NEFT
553,1563,2026-01-16,9729.79,Cheque
554,1564,2026-03-26,11414.26,UPI
555,1565,2026-02-18,3245.65,NEFT
556,1566,2025-10-21,11812.1,Card
557,1567,2026-04-18,7056.4,UPI
558,1567,2026-05-01,1122.1,NEFT
559,1568,2026-07-02,11014.47,Card
560,1568,2026-08-18,634.49,Card
561,1569,2026-04-18,1388.21,NEFT
562,1570,2026-09-04,3575.39,Cheque
563,1571,2026-08-17,4354.09,NEFT
564,1573,2026-04-27,23180.15,NEFT
565,1574,2025-12-22,3602.2,UPI
566,1575,2026-02-01,7272.88,UPI
567,1578,2026-10-13,2836.37,UPI
568,1579,2025-10-16,25896.73,UPI
569,1580,2025-12-23,4186.81,Card
570,1582,2026-06-13,4961.56,UPI
571,1583,2026-05-07,3464.13,Card
572,1584,2026-03-01,5452.48,Card
573,1585,2026-07-13,6397.64,UPI
574,1587,2025-10-13,2712.15,UPI
575,1588,2026-08-03,7318.29,Cheque
576,1589,2026-04-13,5487.82,Cheque
577,1590,2026-03-31,2967.71,NEFT
578,1591,2026-07-15,2360.07,UPI
579,1592,2026-04-09,6611.83,Cheque
580,1593,2026-03-03,1077.86,Card
581,1594,2025-11-07,4059.09,NEFT
582,1595,2025-10-23,5570.63,Card
583,1596,2026-07-20,13096.65,UPI
584,1596,2026-07-28,6980.37,Cheque
585,1597,2026-05-11,5042.1,UPI
586,1598,2025-11-24,3929.39,UPI
587,1599,2026-06-22,6278.22,Cheque
588,1600,2026-09-23,2818.5,Card
589,1601,2025-12-14,4196.66,UPI
590,1602,2026-04-08,4410.85,Cheque
591,1602,2026-03-21,707.74,UPI
592,1604,2026-01-23,2918.41,Card
593,1605,2026-06-25,4977.16,Card
594,1606,2026-04-28,1193.18,Card
595,1607,2026-04-21,7559.33,Card
596,1608,2026-06-18,2530.99,Card
597,1608,2026-06-02,1627.23,UPI
598,1609,2026-07-29,16604.51,Cheque
599,1609,2026-07-04,5971.58,NEFT
600,1610,2026-07-13,6622.72,NEFT
601,1611,2026-08-31,2498.89,Card
602,1612,2025-10-14,2084.42,Card
603,1613,2025-10-09,8489.23,UPI
604,1615,2026-08-24,16470.47,UPI
605,1616,2025-11-02,1895.13,Cheque
606,1617,2026-06-13,2483.52,Card
607,1619,2026-04-26,1710.03,UPI
608,1620,2025-11-23,5007.68,Card
609,1621,2025-12-23,2849.68,NEFT
610,1622,2026-09-15,4208.3,NEFT
611,1623,2026-01-03,6238.53,UPI
612,1624,2026-09-14,11752.79,NEFT
613,1625,2025-12-01,16959.44,NEFT
614,1625,2026-01-13,70.34,UPI
615,1627,2026-07-27,2078.04,Card
616,1628,2025-11-24,3229.91,NEFT
617,1629,2026-05-08,9328.79,UPI
618,1630,2026-01-24,11088.21,Card
619,1631,2026-02-26,10226.36,Card
620,1632,2026-01-08,6204.47,NEFT
621,1633,2026-08-25,6714.0,NEFT
622,1634,2025-11-16,4158.45,Card
623,1635,2025-11-16,4480.59,Card
624,1636,2025-12-31,9737.9,NEFT
625,1636,2026-01-07,162.91,Cheque
626,1637,2026-06-09,4694.55,NEFT
627,1637,2026-06-19,1482.69,Card
628,1638,2026-10-02,2330.14,Cheque
629,1638,2026-09-04,1094.19,UPI
630,1639,2026-01-31,12048.01,Cheque
631,1640,2026-07-14,3074.58,Cheque
632,1641,2025-10-06,2289.98,NEFT
633,1641,2025-10-28,3328.13,NEFT
634,1642,2025-10-06,1854.14,UPI
635,1643,2026-05-20,2346.2,UPI
636,1644,2026-04-10,5077.01,UPI
637,1646,2026-05-20,4162.51,Cheque
638,1647,2025-10-15,13197.85,UPI
639,1648,2025-09-16,4525.07,NEFT
640,1649,2026-04-09,10270.93,NEFT
641,1650,2026-08-04,2677.46,Card
642,1651,2026-09-06,7756.73,UPI
643,1652,2026-05-26,2246.3,UPI
644,1653,2025-10-20,4094.37,Card
645,1654,2026-03-27,8012.74,Cheque
646,1655,2025-10-20,3130.86,NEFT
647,1655,2025-11-17,1920.43,NEFT
648,1657,2026-08-17,8528.81,NEFT
649,1658,2026-06-02,3906.78,Cheque
650,1659,2026-06-05,14111.59,Cheque
651,1660,2026-09-30,7088.56,NEFT
652,1661,2026-01-19,4114.37,UPI
653,1662,2025-11-13,5618.42,Cheque
654,1663,2026-02-05,3578.95,NEFT
655,1663,2026-02-02,1798.28,Card
656,1665,2025-11-11,2063.9,UPI
657,1665,2025-11-14,2400.03,Card
658,1666,2026-08-27,5052.53,NEFT
659,1666,2026-08-23,1683.43,Cheque
660,1668,2025-11-24,7027.91,Card
