product_id,product_name,category,unit_cost,unit_price
P1087,Product_87,Furniture,140.16,215.93
P1088,Product_88,Chemicals,317.63,553.3
P1089,Product_89,Hardware,116.42,197.88
P1090,Product_90,Packaging,243.92,423.13
P1091,Product_91,Furniture,403.86,706.84
P1092,Product_92,Hardware,478.49,628.22
P1093,Product_93,Hardware,356.24,581.31
P1094,Product_94,Packaging,113.95,180.8
P1095,Product_95,Textiles,203.91,248.78
P1096,Product_96,Furniture,285.94,476.64
P1097,Product_97,Electronics,438.28,580.42
P1098,Product_98,Electronics,282.91,495.15
P1099,Product_99,Electronics,255.82,435.19
P1100,Product_100,Textiles,144.66,240.33
P1101,Product_101,Furniture,259.81,420.39
P1102,Product_102,Packaging,172.98,256.36
P1103,Product_103,Electronics,290.94,488.4
P1104,Product_104,Furniture,408.18,690.45
P1105,Product_105,Electronics,473.95,596.74
P1106,Product_106,Hardware,408.61,571.5
P1107,Product_107,Textiles,417.58,580.43
P1108,Product_108,Electronics,191.84,244.55
P1109,Product_109,Textiles,353.84,631.77
P1110,Product_110,Electronics,206.28,319.77
P1111,Product_111,Electronics,31.63,49.15
P1112,Product_112,Electronics,444.58,635.52
P1113,Product_113,Packaging,45.1,74.92
P1114,Product_114,Hardware,75.45,112.07
P1115,Product_115,Packaging,28.83,47.44
P1116,Product_116,Textiles,52.28,90.28
P1117,Product_117,Hardware,48.33,77.05
P1118,Product_118,Chemicals,345.11,543.16
P1119,Product_119,Packaging,429.68,718.49
P1120,Product_120,Hardware,402.41,604.34
P1121,Product_121,Electronics,320.62,540.88
P1122,Product_122,Furniture,397.28,498.78
P1123,Product_123,Electronics,239.15,321.69
P1124,Product_124,Packaging,455.07,798.54
P1125,Product_125,Hardware,240.76,313.64
P1126,Product_126,Furniture,33.54,49.37
P1127,Product_127,Packaging,357.19,531.65
P1128,Product_128,Chemicals,418.75,607.4
P1129,Product_129,Textiles,127.8,219.83
P1130,Product_130,Packaging,172.57,284.71
P1131,Product_131,Furniture,353.58,596.18
P1132,Product_132,Textiles,295.43,530.23
P1133,Product_133,Furniture,447.19,798.19
P1134,Product_134,Hardware,249.28,432.57
P1135,Product_135,Furniture,342.78,527.67
P1136,Product_136,Furniture,150.39,207.66
P1137,Product_137,Chemicals,466.13,761.76
P1138,Product_138,Packaging,197.5,349.49
P1139,Product_139,Hardware,278.97,500.51
P1140,Product_140,Furniture,315.91,495.33
P1141,Product_141,Furniture,142.05,230.19
P1142,Product_142,Furniture,172.04,235.22
P1143,Product_143,Packaging,261.16,344.98
P1144,Product_144,Furniture,150.01,237.51
P1145,Product_145,Electronics,82.47,110.1
P1146,Product_146,Hardware,421.56,605.87
P1147,Product_147,Chemicals,175.87,263.02
P1148,Product_148,Furniture,219.67,386.54
P1149,Product_149,Hardware,282.64,504.95
P1150,Product_150,Furniture,424.36,572.15
P1151,Product_151,Chemicals,87.35,111.74
P1152,Product_152,Electronics,320.46,427.79
P1153,Product_153,Furniture,188.52,284.92
P1154,Product_154,Electronics,437.38,730.31
P1155,Product_155,Textiles,337.37,510.51
P1156,Product_156,Textiles,89.69,157.84
P1157,Product_157,Electronics,162.53,257.2
P1158,Product_158,Electronics,37.36,55.67
P1159,Product_159,Textiles,389.87,648.03
P1160,Product_160,Textiles,218.14,386.59
P1161,Product_161,Textiles,43.36,60.7
P1162,Product_162,Hardware,26.46,36.12
P1163,Product_163,Electronics,478.66,635.67
P1164,Product_164,Packaging,429.12,652.86
P1165,Product_165,Chemicals,180.53,267.35
P1166,Product_166,Chemicals,267.96,361.3
P1167,Product_167,Chemicals,296.43,484.07
P1168,Product_168,Chemicals,267.34,368.54
P1169,Product_169,Textiles,167.84,277.59
P1170,Product_170,Textiles,207.47,353.39
P1171,Product_171,Electronics,106.96,183.94
P1172,Product_172,Textiles,35.94,46.29
P1173,Product_173,Chemicals,94.27,130.43
P1174,Product_174,Hardware,26.27,39.79
P1175,Product_175,Furniture,227.87,389.05
P1176,Product_176,Hardware,337.23,485.83
P1177,Product_177,Packaging,106.85,170.52
P1178,Product_178,Electronics,276.28,406.89
P1179,Product_179,Hardware,175.99,214.32
P1180,Product_180,Hardware,77.6,107.85
P1181,Product_181,Hardware,81.24,134.37
P1182,Product_182,Chemicals,316.7,518.81
P1183,Product_183,Chemicals,76.5,132.36
P1184,Product_184,Packaging,285.56,444.25
P1185,Product_185,Textiles,111.5,185.07
P1186,Product_186,Textiles,435.74,631.43
P1187,Product_187,Textiles,43.99,62.02
P1188,Product_188,Hardware,205.8,288.92
P1189,Product_189,Textiles,385.52,499.41
P1190,Product_190,Furniture,379.59,555.22
P1191,Product_191,Textiles,89.49,150.92
P1192,Product_192,Chemicals,114.43,138.15
P1193,Product_193,Chemicals,282.24,436.04
P1194,Product_194,Textiles,348.44,454.27
P1195,Product_195,Chemicals,381.1,627.48
P1196,Product_196,Chemicals,317.86,408.17
P1197,Product_197,Hardware,395.9,514.05
P1198,Product_198,Packaging,231.14,283.28
P1199,Product_199,Chemicals,289.09,423.69
