movement_id,product_id,movement_date,movement_type,quantity,unit_cost
249,P1042,2026-01-14,ISSUE,51,372.99
250,P1146,2025-09-20,ISSUE,18,421.56
251,P1124,2026-06-20,RECEIPT,7,455.07
252,P1015,2026-02-02,ISSUE,76,346.46
253,P1015,2026-01-22,ISSUE,122,346.46
254,P1001,2025-10-16,RECEIPT,61,58.77
255,P1022,2026-04-10,ISSUE,19,132.6
256,P1140,2025-09-14,RECEIPT,144,315.91
257,P1117,2026-03-21,ISSUE,14,48.33
258,P1190,2026-03-27,RECEIPT,15,379.59
259,P1027,2026-04-13,RECEIPT,82,276.32
260,P1116,2025-09-07,RECEIPT,21,52.28
261,P1037,2026-01-26,ISSUE,118,142.11
262,P1181,2026-08-07,ISSUE,6,81.24
263,P1131,2026-02-03,ISSUE,11,353.58
264,P1176,2026-08-24,ISSUE,51,337.23
265,P1157,2026-02-27,ISSUE,103,162.53
266,P1041,2026-08-14,ISSUE,40,254.37
267,P1133,2026-05-21,RECEIPT,70,447.19
268,P1131,2025-12-03,RECEIPT,119,353.58
269,P1116,2025-11-04,ISSUE,147,52.28
270,P1146,2025-09-08,ISSUE,137,421.56
271,P1042,2026-06-07,ISSUE,20,372.99
272,P1098,2026-01-09,RECEIPT,96,282.91
273,P1010,2026-05-31,ISSUE,43,431.29
274,P1004,2025-10-31,RECEIPT,77,481.29
275,P1110,2026-03-02,RECEIPT,87,206.28
276,P1169,2026-02-14,RECEIPT,7,167.84
277,P1116,2026-03-02,ISSUE,32,52.28
278,P1178,2026-04-06,RECEIPT,98,276.28
279,P1092,2026-07-26,RECEIPT,81,478.49
280,P1148,2026-03-11,ISSUE,121,219.67
281,P1079,2026-02-02,ISSUE,103,165.08
282,P1071,2025-11-26,RECEIPT,67,395.38
283,P1007,2026-02-12,RECEIPT,111,182.23
284,P1002,2026-06-24,ISSUE,99,227.87
285,P1013,2026-01-06,ISSUE,54,360.62
286,P1154,2026-04-16,ISSUE,142,437.38
287,P1022,2026-03-20,RECEIPT,81,132.6
288,P1047,2026-03-03,ISSUE,26,285.65
289,P1058,2026-01-06,RECEIPT,84,443.58
290,P1044,2025-09-03,ISSUE,69,345.07
291,P1193,2026-04-11,ISSUE,38,282.24
292,P1067,2026-01-08,RECEIPT,15,344.06
293,P1041,2025-09-30,ISSUE,81,254.37
294,P1149,2025-11-27,RECEIPT,35,282.64
295,P1154,2025-09-21,ISSUE,82,437.38
296,P1120,2026-06-24,ISSUE,64,402.41
297,P1180,2026-07-24,ISSUE,89,77.6
298,P1047,2025-09-27,ISSUE,16,285.65
299,P1077,2026-04-24,ISSUE,7,51.66
300,P1133,2026-08-17,ISSUE,95,447.19
301,P1138,2025-09-22,RECEIPT,41,197.5
302,P1175,2025-09-23,RECEIPT,43,227.87
303,P1189,2026-01-02,ISSUE,131,385.52
304,P1090,2026-08-30,ISSUE,18,243.92
305,P1185,2026-06-17,ISSUE,48,111.5
306,P1020,2026-03-19,RECEIPT,65,50.05
307,P1038,2025-09-20,ISSUE,9,205.78
308,P1066,2025-12-18,ISSUE,76,33.19
309,P1173,2026-01-29,ISSUE,46,94.27
310,P1130,2026-01-02,RECEIPT,11,172.57
311,P1184,2026-01-27,RECEIPT,139,285.56
312,P1001,2025-12-05,RECEIPT,117,58.77
313,P1026,2025-11-11,ISSUE,24,30.31
314,P1162,2026-05-19,RECEIPT,126,26.46
315,P1056,2026-08-06,ISSUE,85,334.84
316,P1122,2025-11-25,RECEIPT,119,397.28
317,P1008,2026-07-26,ISSUE,72,241.17
318,P1094,2026-01-20,RECEIPT,146,113.95
319,P1035,2025-09-07,ISSUE,122,181.19
320,P1028,2025-09-03,RECEIPT,44,420.17
321,P1078,2025-12-08,ISSUE,63,489.23
322,P1189,2025-11-09,ISSUE,111,385.52
323,P1141,2026-06-24,RECEIPT,25,142.05
324,P1198,2025-11-16,RECEIPT,137,231.14
325,P1017,2026-06-08,RECEIPT,68,451.51
326,P1023,2026-04-25,RECEIPT,125,271.43
327,P1091,2026-02-18,RECEIPT,113,403.86
328,P1045,2026-06-26,RECEIPT,36,447.5
329,P1199,2025-12-24,RECEIPT,86,289.09
330,P1068,2025-10-14,RECEIPT,69,142.48
331,P1179,2026-04-10,ISSUE,116,175.99
332,P1087,2025-10-23,ISSUE,58,140.16
333,P1055,2025-10-22,RECEIPT,133,415.33
334,P1176,2025-11-28,ISSUE,122,337.23
335,P1169,2026-08-28,ISSUE,46,167.84
336,P1067,2026-04-07,ISSUE,93,344.06
337,P1154,2025-09-23,RECEIPT,94,437.38
338,P1057,2026-06-05,RECEIPT,116,373.34
339,P1033,2026-02-12,ISSUE,94,195.81
340,P1147,2025-10-01,RECEIPT,131,175.87
341,P1053,2026-07-10,RECEIPT,98,348.12
342,P1047,2025-10-12,RECEIPT,51,285.65
343,P1119,2026-05-07,ISSUE,10,429.68
344,P1162,2026-04-04,ISSUE,136,26.46
345,P1150,2026-05-22,RECEIPT,55,424.36
346,P1119,2026-02-07,ISSUE,118,429.68
347,P1121,2025-12-15,ISSUE,138,320.62
348,P1105,2026-03-27,RECEIPT,72,473.95
349,P1176,2026-04-03,RECEIPT,49,337.23
350,P1147,2025-10-10,RECEIPT,107,175.87
351,P1102,2026-07-12,ISSUE,60,172.98
352,P1098,2026-08-04,RECEIPT,35,282.91
353,P1118,2026-05-12,ISSUE,81,345.11
354,P1169,2026-05-02,RECEIPT,91,167.84
355,P1152,2026-08-30,RECEIPT,78,320.46
356,P1104,2025-12-27,RECEIPT,130,408.18
357,P1154,2026-02-18,ISSUE,19,437.38
358,P1107,2025-12-18,ISSUE,61,417.58
359,P1158,2025-12-26,RECEIPT,112,37.36
360,P1149,2026-05-07,ISSUE,107,282.64
361,P1107,2026-08-01,RECEIPT,102,417.58
362,P1125,2025-12-11,RECEIPT,149,240.76
363,P1134,2026-07-13,ISSUE,79,249.28
364,P1150,2025-12-04,RECEIPT,5,424.36
365,P1044,2026-01-05,RECEIPT,118,345.07
366,P1043,2025-11-12,RECEIPT,146,209.96
367,P1002,2026-04-09,RECEIPT,96,227.87
368,P1030,2025-11-12,RECEIPT,95,444.63
369,P1039,2025-10-07,RECEIPT,139,183.94
370,P1177,2026-01-25,ISSUE,115,106.85
371,P1166,2025-10-07,ISSUE,18,267.96
372,P1023,2026-04-07,ISSUE,51,271.43
373,P1089,2026-06-26,RECEIPT,141,116.42
374,P1174,2026-04-03,ISSUE,89,26.27
375,P1038,2026-08-18,ISSUE,124,205.78
376,P1093,2025-09-27,RECEIPT,35,356.24
377,P1149,2025-10-07,RECEIPT,136,282.64
378,P1097,2026-01-25,RECEIPT,97,438.28
379,P1022,2026-05-30,ISSUE,46,132.6
380,P1090,2025-12-11,RECEIPT,134,243.92
381,P1009,2026-05-03,ISSUE,107,183.9
382,P1036,2026-08-20,RECEIPT,84,69.34
383,P1116,2026-06-28,ISSUE,113,52.28
384,P1167,2026-03-09,RECEIPT,7,296.43
385,P1051,2026-08-15,RECEIPT,73,160.92
386,P1136,2026-08-07,RECEIPT,6,150.39
387,P1053,2025-10-21,RECEIPT,127,348.12
388,P1165,2026-08-12,RECEIPT,17,180.53
389,P1065,2026-07-08,ISSUE,70,54.69
390,P1188,2026-06-16,RECEIPT,33,205.8
391,P1058,2026-01-25,ISSUE,53,443.58
392,P1013,2025-10-04,ISSUE,98,360.62
393,P1012,2026-03-13,ISSUE,12,154.38
394,P1112,2026-05-12,RECEIPT,60,444.58
395,P1160,2026-01-01,ISSUE,123,218.14
396,P1165,2026-02-18,ISSUE,37,180.53
397,P1044,2025-10-28,ISSUE,46,345.07
398,P1012,2026-08-11,ISSUE,37,154.38
399,P1024,2026-05-27,RECEIPT,82,62.99
400,P1178,2025-09-07,ISSUE,58,276.28
401,P1019,2026-04-27,RECEIPT,42,135.07
402,P1173,2026-02-09,ISSUE,37,94.27
403,P1075,2026-04-15,ISSUE,126,292.75
404,P1027,2026-03-06,RECEIPT,51,276.32
405,P1193,2026-02-10,RECEIPT,41,282.24
406,P1160,2026-04-02,RECEIPT,122,218.14
407,P1110,2026-08-12,RECEIPT,45,206.28
408,P1035,2025-10-18,RECEIPT,117,181.19
409,P1058,2025-12-02,ISSUE,144,443.58
410,P1196,2026-05-26,ISSUE,138,317.86
411,P1176,2026-04-12,ISSUE,125,337.23
412,P1031,2026-06-20,RECEIPT,142,283.46
413,P1102,2026-04-23,RECEIPT,107,172.98
414,P1051,2025-11-16,RECEIPT,120,160.92
415,P1097,2025-11-14,ISSUE,47,438.28
416,P1156,2025-12-06,RECEIPT,21,89.69
417,P1197,2026-02-05,ISSUE,146,395.9
418,P1196,2026-06-10,ISSUE,84,317.86
419,P1143,2026-04-03,ISSUE,127,261.16
420,P1110,2026-01-28,RECEIPT,5,206.28
421,P1106,2026-01-12,ISSUE,29,408.61
422,P1009,2026-05-14,ISSUE,32,183.9
423,P1133,2026-02-26,RECEIPT,136,447.19
424,P1139,2026-02-04,ISSUE,46,278.97
425,P1000,2025-12-13,ISSUE,14,136.85
426,P1009,2026-01-27,ISSUE,79,183.9
427,P1055,2026-06-15,RECEIPT,46,415.33
428,P1127,2025-09-02,RECEIPT,80,357.19
429,P1116,2025-10-20,ISSUE,123,52.28
430,P1070,2026-03-19,ISSUE,112,266.27
431,P1198,2025-12-27,RECEIPT,100,231.14
432,P1083,2026-05-04,ISSUE,140,433.93
433,P1122,2025-11-04,RECEIPT,79,397.28
434,P1138,2026-04-16,RECEIPT,46,197.5
435,P1000,2026-05-15,ISSUE,27,136.85
436,P1043,2025-12-11,ISSUE,26,209.96
437,P1192,2025-11-23,ISSUE,27,114.43
438,P1134,2026-05-06,RECEIPT,121,249.28
439,P1018,2026-08-09,ISSUE,85,389.28
440,P1117,2025-11-17,RECEIPT,46,48.33
441,P1100,2026-02-20,RECEIPT,80,144.66
442,P1027,2025-09-15,ISSUE,123,276.32
443,P1152,2026-01-15,RECEIPT,63,320.46
444,P1162,2026-08-02,ISSUE,15,26.46
445,P1071,2026-01-26,RECEIPT,87,395.38
446,P1008,2026-05-15,ISSUE,17,241.17
447,P1194,2026-03-11,RECEIPT,99,348.44
448,P1161,2026-02-22,ISSUE,7,43.36
449,P1153,2026-05-06,RECEIPT,45,188.52
450,P1100,2026-03-05,ISSUE,84,144.66
451,P1089,2025-12-02,RECEIPT,8,116.42
452,P1127,2026-03-29,ISSUE,102,357.19
453,P1114,2026-03-19,RECEIPT,124,75.45
454,P1102,2025-09-30,RECEIPT,7,172.98
455,P1189,2025-12-02,ISSUE,75,385.52
456,P1075,2026-02-01,RECEIPT,80,292.75
457,P1162,2025-12-02,ISSUE,29,26.46
458,P1120,2025-10-02,RECEIPT,128,402.41
459,P1007,2025-10-02,RECEIPT,92,182.23
460,P1012,2026-03-25,ISSUE,117,154.38
461,P1185,2026-01-27,ISSUE,106,111.5
462,P1097,2026-08-18,RECEIPT,62,438.28
463,P1074,2026-07-26,ISSUE,102,111.17
464,P1104,2026-04-28,ISSUE,122,408.18
465,P1068,2026-03-01,ISSUE,28,142.48
466,P1005,2026-05-06,RECEIPT,51,308.82
467,P1037,2026-07-14,ISSUE,137,142.11
468,P1122,2026-04-02,RECEIPT,114,397.28
469,P1121,2026-08-29,ISSUE,113,320.62
470,P1036,2026-06-06,RECEIPT,110,69.34
471,P1120,2025-11-25,ISSUE,130,402.41
472,P1028,2025-11-11,RECEIPT,25,420.17
473,P1183,2026-03-10,ISSUE,137,76.5
474,P1037,2026-01-13,RECEIPT,29,142.11
475,P1132,2026-07-17,RECEIPT,75,295.43
476,P1006,2025-09-21,ISSUE,120,241.77
477,P1106,2025-09-01,RECEIPT,40,408.61
478,P1187,2026-06-25,ISSUE,20,43.99
479,P1026,2025-11-14,ISSUE,26,30.31
480,P1172,2026-07-26,RECEIPT,134,35.94
481,P1025,2026-04-09,ISSUE,19,292.72
482,P1034,2026-01-05,RECEIPT,118,162.46
483,P1096,2026-03-29,ISSUE,51,285.94
484,P1032,2026-01-18,RECEIPT,9,349.97
485,P1035,2026-07-24,RECEIPT,27,181.19
486,P1061,2026-06-08,RECEIPT,142,469.05
487,P1114,2026-01-23,ISSUE,24,75.45
488,P1057,2026-04-09,ISSUE,138,373.34
489,P1040,2025-12-16,RECEIPT,103,257.88
490,P1092,2025-12-14,ISSUE,145,478.49
491,P1038,2026-05-11,RECEIPT,8,205.78
492,P1078,2025-11-13,RECEIPT,77,489.23
493,P1099,2026-03-14,ISSUE,134,255.82
494,P1150,2026-03-23,ISSUE,106,424.36
495,P1182,2026-08-18,ISSUE,82,316.7
496,P1075,2025-09-05,ISSUE,114,292.75
497,P1119,2026-08-12,RECEIPT,63,429.68
498,P1113,2025-11-02,ISSUE,37,45.1
499,P1071,2025-11-26,RECEIPT,55,395.38
500,P1141,2026-08-01,RECEIPT,84,142.05
501,P1163,2026-08-12,RECEIPT,136,478.66
502,P1185,2026-06-07,RECEIPT,62,111.5
503,P1095,2025-10-15,RECEIPT,39,203.91
504,P1189,2026-06-26,ISSUE,89,385.52
505,P1032,2026-08-28,ISSUE,124,349.97
506,P1144,2026-06-07,RECEIPT,85,150.01
507,P1030,2025-10-31,ISSUE,72,444.63
508,P1098,2025-12-15,ISSUE,8,282.91
509,P1037,2026-01-14,ISSUE,114,142.11
510,P1194,2026-02-21,RECEIPT,69,348.44
511,P1129,2025-12-24,RECEIPT,16,127.8
512,P1190,2026-01-27,ISSUE,24,379.59
513,P1002,2026-08-16,ISSUE,119,227.87
514,P1091,2025-12-29,ISSUE,14,403.86
515,P1085,2026-04-19,RECEIPT,124,139.55
516,P1184,2025-09-24,RECEIPT,32,285.56
517,P1132,2026-03-07,RECEIPT,106,295.43
518,P1005,2025-12-01,ISSUE,97,308.82
519,P1167,2026-07-25,ISSUE,19,296.43
520,P1004,2026-05-06,ISSUE,111,481.29
521,P1118,2026-07-15,RECEIPT,68,345.11
522,P1061,2026-07-01,RECEIPT,62,469.05
523,P1100,2026-05-04,ISSUE,141,144.66
524,P1056,2026-06-07,ISSUE,134,334.84
525,P1008,2026-04-22,ISSUE,11,241.17
526,P1080,2026-08-09,ISSUE,16,362.77
527,P1150,2026-07-02,ISSUE,33,424.36
528,P1197,2026-04-16,RECEIPT,109,395.9
529,P1173,2026-03-20,ISSUE,55,94.27
530,P1188,2025-10-28,RECEIPT,65,205.8
531,P1170,2026-07-17,ISSUE,40,207.47
532,P1022,2026-05-02,ISSUE,32,132.6
533,P1153,2026-05-14,RECEIPT,118,188.52
534,P1154,2025-12-08,ISSUE,137,437.38
535,P1016,2026-01-21,RECEIPT,91,60.67
536,P1145,2026-06-23,ISSUE,24,82.47
537,P1149,2025-11-28,RECEIPT,81,282.64
538,P1195,2026-03-23,ISSUE,137,381.1
539,P1012,2026-07-08,ISSUE,32,154.38
540,P1002,2025-09-11,ISSUE,44,227.87
541,P1154,2026-05-13,RECEIPT,100,437.38
542,P1048,2025-10-16,ISSUE,52,345.05
543,P1114,2025-09-03,RECEIPT,59,75.45
544,P1159,2026-08-29,ISSUE,42,389.87
545,P1091,2026-07-15,RECEIPT,97,403.86
546,P1074,2026-01-12,ISSUE,97,111.17
547,P1050,2026-03-13,RECEIPT,29,98.34
